Accession	h1_clade
KU379575	1B.2.2.1
KT356682	1A.1.1
KR870300	1B.2.5
KR870295	1B.2.5
KR870281	1A.3.1
KR870279	1A.3.1
KR870277	1A.3.1
KR870266	1A.3.1
EPI744685	1A.3.3.4
EPI744317	1A.3.3.2
EPI743511	1A.3.3.4
EPI743388	1A.3.3.4
EPI743220	1A.3.3.4
EPI743140	1A.3.3.4
EPI741455	1A.3.3.4
EPI694866	1B.1.2.2
EPI861212	1C.2.5
EPI858788	1C.2.2
KM267934	1B.1.2.3
KM267928	1C.2.1
KM267923	1C.2.2
EPI857957	1A.5.3
EPI857925	1A.5.2
EPI833598	1A.5.3
EPI829619	1A.5.2
EPI829149	1A.5.2
EPI829117	1A.5.3
EPI829007	1A.5.2
KY382390	1A.1.1.3
KU954065	1A.3.3.3-c3
KX761348	1A.1.1.3
KX358874	1A.1.1.3
KX298136	1A.1.1
KX150858	1B.2.2.1
EPI833654	1A.5.1
EPI833462	1A.5.1
EPI833438	1A.5.3
EPI833430	1A.5.1
EPI854850	1A.3.3.2
EPI761206	1A.5.2
EPI761110	1A.5.2
EPI761008	1A.5.1
MF920406	1B.2.2.2
EPI1039346	1A.3.3.2
MG822886	1A.3.3.3-c3
MG832651	1B.2.2.1
CY246227	1A.1.1.1
KU322847	1A.3.3.2
KU322831	1B.1.2.2
KU323189	1C.2.5
KU323253	1C.2
KY859939	1A.3.2
KY765310	1A.4
EPI1138301	1A.5.2
EPI1030809	1A.5.1
EPI1020079	1A.5.2
EPI1009476	1A.5.1
EPI961911	1A.5.2
MH396594	1B.2.5
MH346899	1B.2.5
MH182107	1B.2.2.1
MH259505	1A.1.1.3
MH350900	1A.3.3.3-c2
MG962440	1B.3
MG962424	1B.3
MG962504	1B.3
MG962488	1B.3
MF099121	1B.2.5
MF099312	1B.2.5
MF099323	1B.2.5
MF098874	1B.2.5
MH463578	1A.3.3.3-c1
MH463570	1B.2.1
MG572188	1B.2.3
MH223580	1A.3.3.3-c3
MH061679	1A.3.1
MH061791	1A.3.1
MH061783	1A.3.1
MH061767	1A.3.1
MG763241	1A.1.1.3
MG494742	1A.1.1
EPI1352909	1A.5.3
EPI1336152	1A.5.3
EPI1494458	1A.5.3
EPI1494450	1A.5.1
EPI1493246	1A.5.3
EPI1478818	1A.5.1
EPI1399185	1A.5.3
EPI1201609	1A.5.2
EPI1201858	1C.2.1
EPI1201828	1B.1.1
EPI1201469	1B.1.2
EPI1201451	1B.1.2
EPI1201437	1C.2.2
EPI1201390	1C.2.6
MN543890	1A.2
MN328319	1A.4
MN319478	1B.2.1
MN256843	1B.2.2.2
MH013203	1A.3.1
MH006702	1A.3.1
MK072850	1A.3.3.3-c3
MK208433	1A.3.3.3-c3
LC430960	1A.5
MK328767	1A.2
MK462499	1A.1.1
MK799875	1A.4
MK751579	1B.2.2.1
MK705894	1A.1.1.3
MK992871	1B.2.1
MK922309	1A.3.3.2
EPI1542760	1A.5.1
MN607408	1B.2.2.1
MN990049	1C.2.4
MT394974	1B.1.2.3
MT379374	1C.2.1
MT379206	1B.1.2.1
MT378966	1B.1.2.3
MT378846	1B.1.2.3
MT649736	1A.3.3
MT703763	1A.3.3.3-c1
MT668571	1B.2.1
MN932194	1C.2.6
MN932191	1C.2.6
MN932186	1B.1.2.1
MN932164	1C.2.6
MN688600	1A.3.3.3-c1
MN688590	1A.1.1.3
MN630781	1A.3.3.3-c3
MN263271	1C.2.4
MN575732	1A.3.3.3-c1
MN575726	1A.4
MN416647	1C.2.3
MN416643	1C.2.3
MH560027	1B.2.4
MH559907	1B.2.3
MH559883	1B.2.3
MW181596	1B.2.2.2
MT378049	1A.1.2
MT377977	1A.1.2
MN846563	1A.4
MN846561	1A.4
MN393808	1C.2.3
MK339205	1C.2.4
MK339181	1B.1.2.1
MK339117	1B.1.2.1
MK339061	1B.1.2.1
MK338771	1B.1.2.1
MK075056	1B.1.2.2
MK367367	1C.2.1
MK367095	1B.1.2.1
MK366415	1C.2.2
MK365839	1C.2.1
MK365082	1C.2.2
MK365018	1C.2.1
MK364970	1C.2.4
MW848655	1B.1.2
MW848648	1B.1.2
MZ484039	1C.2.5
MZ476804	1A.1.1
MW505514	1A.1.1.3
MW362702	1B.1.2.1
MW362606	1C.2.2
MW308169	1A.3.3.3-c3
MT666705	1C.2.4
MT666451	1C.2.5
MT666328	1C.2.4
MT666251	1C.2.4
MT666243	1C.2
MW244329	1A.3.3.2
MW220833	1B.1.2.2
MW220809	1B.1.2.2
MW220801	1B.1.2.2
MW220594	1C.2.4
MW171198	1C.2.4
MW171170	1B.1.2.2
MW171164	1C.2.5
MW170334	1C.2.2
MW170268	1C.2.6
ON634687	1A.1.4
MZ373094	1C.2.2
MZ373080	1C.2.6
MZ089145	1C.2.4
MZ088217	1A.3.3.2
MZ005147	1B.2.5
MZ005072	1B.2.5
OL331060	1A.4
EPI2049565	1C.2.3
EPI2048685	1C.2.3
EPI2048325	1C.2.3
EPI2047789	1C.2.3
EPI2120510	1B.3
EPI2120508	1B.3
EPI2120500	1B.3
ON426985	1A.4
ON426971	1A.3.3.3-c1
OM865152	1A.4
