accession	clade
EPI593944	1990.4.e
EPI610374	1990.4.k
EPI612729	2010.1
EPI615278	2000.1
EPI615290	2000.1
EPI615347	2000.1
EPI622464	1990.5
EPI641470	1990.4.e
EPI644519	1990.4.j
EPI644522	1990.4
EPI644524	1990.4.j
EPI644536	1990.2
EPI644546	1990.2
EPI644551	1990.2
EPI671836	2000.1
EPI672911	1990.4.b2
EPI687611	1990.4.b1
EPI693752	1990.4.b1
EPI693993	1990.4.b2
EPI694333	1990.4.g
EPI697649	1990.4.h
EPI698104	1990.4.h
EPI698153	1990.4
EPI698252	1990.4
EPI741212	1990.4.g
EPI742909	1990.4.g
EPI743308	2000.4
EPI743316	2000.4
EPI744509	1990.4.g
EPI744772	2000.4
EPI750294	1990.4.i
EPI764444	1990.4.e
EPI849330	1990.4.d
EPI849331	1990.4
EPI849335	1990.4.c
EPI854826	1990.3
EPI864007	2000.3
EPI891866	1990.4.i
EPI899941	2010.1
EPI901115	1990.4.b1
EPI906257	2000.3
EPI906296	2000.3
EPI906572	2000.3
EPI906574	2000.3
EPI947517	1990.4.a
EPI955907	2000.5
EPI959957	1990.3
EPI962075	2000.4
EPI962827	1990.4.g
EPI1031045	1990.4
EPI1032246	1990.4.f
EPI1032727	1990.4.b2
EPI1032879	1990.4.b1
EPI1034282	2010.2
EPI1057547	2000.5
EPI1073255	2010.1
EPI1083218	1990.4.h
EPI1083445	1990.4.h
EPI1083511	1990.4.b2
EPI1083706	1990.4.i
EPI1084721	1990.4.h
EPI1084981	1990.4
EPI1085021	1990.4.h
EPI1085033	1990.4.h
EPI1085081	1990.4.b2
EPI1085131	1990.4.c
EPI1085139	1990.4.h
EPI1090988	2000.5
EPI1160006	1990.4.j
EPI1160126	1990.4.j
EPI1160134	1990.2
EPI1160142	1990.4.j
EPI1177905	1990.4.b2
EPI1179210	1990.4.b1
EPI1201538	2000.5
EPI1213016	1990.4.j
EPI1213141	1990.2
EPI1213285	1990.2
EPI1213290	1990.2
EPI1231113	1990.3
EPI1298939	2010.2
EPI1307796	1990.6
EPI1307820	1990.6
EPI1307856	1990.6
EPI1309711	1990.4.a
EPI1309792	1990.4.e
EPI1398980	2000.5
EPI1399004	2000.5
EPI1511019	1990.1
EPI1511312	1990.4.a
EPI1513679	2000.5
EPI1513721	2000.5
EPI1517097	2010.1
EPI1522804	1990.1
EPI1522810	2010.2
EPI1525816	2010.2
EPI1530652	1990.4.h
EPI1533413	2010.1
EPI1542742	2000.5
EPI1550596	1990.4.i
EPI1550679	1990.4.i
EPI1552181	1990.4.c
EPI1552277	1990.4.c
EPI1552319	1990.4.c
EPI1557103	1990.4.g
EPI1585163	1990.1
EPI1601879	2010.1
EPI1601957	2010.1
EPI1611186	1990.1
EPI1766067	2000.3
EPI1769186	1990.1
EPI1769192	2010.2
EPI1775978	1990.4.i
EPI1777625	1990.4.h
EPI1777753	2010.1
EPI1781066	1970.1
EPI1781586	1970.1
EPI1781706	1970.1
EPI1782114	1970.1
EPI1782538	2000.3
EPI1789582	2010.2
EPI1798418	1990.3
EPI1815686	1990.3
EPI1817935	1990.4.a
EPI1829450	1990.5
EPI1829466	1990.5
EPI1829570	1990.5
EPI1829602	1990.5
EPI1832743	1990.1
EPI1833007	1990.4.i
EPI1833096	2010.1
EPI1906124	1990.5
EPI1906140	1990.5
EPI1907204	2000.3
EPI1907890	2010.2
EPI1908070	1990.4.i
EPI1909023	1990.4
EPI1910819	2010.2
EPI1910841	1990.4.b1
EPI1911795	2010.2
EPI1976817	2000.3
EPI1977350	2000.3
EPI2117283	1990.4.a
EPI2120498	1990.6
EPI2137537	1970.1
EPI2141196	1970.1
EPI2147445	2010.1
EPI2148192	2010.2
EPI2148200	1990.4.i
CY077505	Outgroup
KX954137	Other-Equine
JX235383	Other-Canine-cEquine
DQ124189	Other-Equine
CY067446	Other-Canine-cEquine
DQ124157	Other-Canine-cEquine
DQ124190	Other-Canine-cEquine
CY028836	Other-Equine
CY030189	Other-Equine
KY241303	Other-Equine
EU871828	Other-Avian-c1
CY076013	Other-Avian-c1
KX960459	Other-Avian-c1
CY180291	Other-Avian-c3
CY180115	Other-Avian-c3
CY128639	Other-Avian-c3
JX297592	Other-Avian-c3
CY138376	Other-Avian-c3
CY005941	Other-Avian-c3
CY117267	Other-Avian-c3
CY179547	Other-Avian-c2
CY180195	Other-Avian-c2
CY125541	Other-Avian-c2
CY178406	Other-Avian-c2
CY017709	Other-Avian-c2
CY102784	Other-Avian-c2
CY101635	Other-Avian
MK690601	Other-Canine-cAvian
MG982799	Other-Canine-cAvian
GU433345	Other-Canine-cAvian
JX101353	Other-Canine-cAvian
KP767585	Other-Avian-c4
AB593455	Other-Avian-c4
KF258949	Other-Avian-c4
CY006038	Other-Avian
KT725420	Other-Avian-c4
HQ165996	Other-Avian-c4
CY035807	Other-Avian-c4
AB450457	Other-Avian-c4
AB812573	Other-Avian-c4
KF007987	1990.4
CY099027	1990.4
CY159241	1990.4
EU735818	1990.4
CY121077	Other-Human-2000
CY094887	Other-Avian
KR870303	Other-Human-1990
DQ923506	Other-Human-1990
CY028283	Other-Avian
CY164112	Other-Human-2000
EU283414	Other-Human-2000
CY034108	Other-Human-2000
CY112933	Other-Human-2000
CY121125	Other-Human-2000
CY012104	Other-Human-2000
CY114373	Other-Human-2000
CY121041	Other-Human-2000
CY039087	Other-Human-2000
MT169332	Other-Human-2010
MT246016	Other-Human-2010
MG974450	Other-Human-2010
EPI780183	Other-Human-2010
EPIISL175063	Other-Human-2010
EPIISL158890	Other-Human-2010
EPIISL165829	Other-Human-2010
EPIISL166796	Other-Human-2010
KC892952	Other-Human-2010
KJ942680	Other-Human-2010
CY157751	1990.4
CY130126	Other-Avian
EU301209	1990.4
AB277754	Other-Avian
EF551053	1990.4
CY112337	Other-Human-1970
V01086	Other-Human-1970
CY006044	Other-Human-1970
AY661012	Other-Human-1970
AB298687	Other-Human-1970
CY112265	Other-Human-1960
CY112281	Other-Human-1970
EF409245	Other-Human-1960
CY111496	Other-Human-1960
CY112249	Other-Human-1960
CY021597	Other-Human-1970
CY009356	Other-Human-1970
CY006907	Other-Human-1970
CY009348	Other-Human-1970
CY002096	Other-Human-1970
CY112917	Other-Human-2000
CY006611	Other-Human-1990
KM821316	Other-Human-1990
KM821302	Other-Human-1990
AF180657	Other-Human-1990
CY114213	Other-Human-1990
U65557	Other-Human-1990
AF008763	Other-Human-1990
AF534015	Other-Human-1990
AF008656	Other-Human-1990
CY112733	Other-Human-1990
AY661167	Other-Human-1990
AF008814	Other-Human-1990
U26830	Other-Human-1990
L19003	Other-Human-1980
AF008868	Other-Human-1980
AF008861	Other-Human-1980
CY121245	Other-Human-1980
AF405208	Other-Human-1980
CY108117	Other-Human-1980
DQ508825	Other-Human-1980
AY661128	Other-Human-1990
KC738699	Other-Human-1990
CY113861	Other-Human-1990
CY112428	Other-Human-1980
CY003064	Other-Human-1980
AF008889	Other-Human-1980
CY113365	Other-Human-1980
KP137795	2010.1
KJ941380	2010.1
KP137723	2010.1
KJ942624	1990.4.a
EPI1056653	2010.1
EPI824757	2010.1
JQ070792	1990.4.a
EPI1837753	Other-Human-2020
EPI2020693	Other-Human-2020
MN819105	Other-Human-2010
CY113181	Other-Human-1970
EPI1922122	Other-Human-2020
EPI1397376	Other-Human-2010
CY113261	Other-Human-1970
CY114461	Other-Human-1980
CY121277	Other-Human-1980
CY121293	Other-Human-1980
CY121373	Other-Human-1990
EPI614437	Other-Human-2010
EPI1642843	Other-Human-2010
CY114117	Other-Human-1990
KJ609206	Other-Human-2000
EPI1323470	Other-Human-2010
CY113941	Other-Human-1990
CY113909	Other-Human-1990
CY112540	Other-Human-1990
EPI36802	Other-Human-2000
EPI139200	Other-Human-2000
EPI161218	Other-Human-2000
EPI48397	Other-Human-2000
EPI1776694	Other-Human-2000
EPI30203	Other-Human-2000
EPI82646	Other-Human-2000
